#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
33,"I Am Not Okay","Jelly Roll",41,77,"country hip hop, country","Country, Hip Hop","I Am Not Okay",2024-06-12,03:17,51,67,6,0,39,0,10,-5,G Major,4,2025-01-18,76ODTQOl0JZQbhfxs6nRV9,"BBR Music Group/Jelly Roll",9B,USUG12403674
34,"BMF","SZA",89,128,"r&b","R&B","SOS Deluxe: LANA",2024-12-20,03:00,79,55,51,2,97,0,0,-9,A#/B♭ Minor,4,2025-01-18,3U3hFkMr0Q90pD24EkE3Pr,"Top Dawg Entertainment/RCA Records",3A,USRC12403826
35,"Bed Chem","Sabrina Carpenter",87,95,"","","Short n' Sweet",2024-08-23,02:51,74,73,7,0,68,0,10,-6,B Minor,4,2025-01-18,1UHS8Rf6h5Ar3CDWRd3wjF,"Island Records",10A,USUM72319094
36,"VOY A LLeVARTE PA PR","Bad Bunny",93,106,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,02:36,15,60,92,45,0,0,40,-35,G Major,3,2025-01-18,59D4DOkspUbWyMmbAPQkxZ,"Rimas Entertainment LLC.",9B,QMFMF2447056
37,"EL CLúB","Bad Bunny",89,111,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:42,52,61,46,0,26,0,10,-5,A#/B♭ Minor,4,2025-01-18,0iKo4pNNjHHdKUcFARlfCa,"Rimas Entertainment LLC.",3A,QMFME2462255
38,"DtMF","Bad Bunny",98,136,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:57,63,13,18,22,3,0,0,-27,G Minor,4,2025-01-18,3sK8wGT43QFpWrvNQsrQya,"Rimas Entertainment LLC.",6A,QMFMF2447070
39,"Who","Jimin",90,116,"k-pop","Pop","MUSE",2024-07-19,02:50,66,76,0,0,84,0,10,-4,C Minor,4,2025-01-18,7tI8dRuH2Yc6RuoTjxo4dU,"BIGHIT MUSIC",5A,USA2P2431062
40,"MILLION DOLLAR BABY","Tommy Richman",87,138,"","","MILLION DOLLAR BABY",2024-04-26,02:35,85,70,10,0,92,0,0,-6,C♯/D♭ Minor,4,2025-01-18,5AJ9hqTS2wcFQCELCFRO7A,"PULSE Records",12A,QM24S2402528
41,"WILDFLOWER","Billie Eilish",92,148,"","","HIT ME HARD AND SOFT",2024-05-17,04:21,47,25,61,0,13,0,10,-12,F#/G♭ Minor,4,2025-01-18,3QaPy1KgI7nu9FJEQUgn6h,"Darkroom/Interscope Records",11A,USUM72401993
42,"Lies Lies Lies","Morgan Wallen",80,81,"country","Country","Lies Lies Lies",2024-07-05,03:18,49,70,24,0,38,0,0,-6,C♯/D♭ Minor,4,2025-01-18,7Fzl7QaTu47WyP9R5S5mh5,"Big Loud Records / Mercury Records / Republic Records",12A,USUG12404146
43,"VeLDÁ","Bad Bunny,Omar Courtz,Dei V",92,102,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:55,61,98,29,0,3,10,40,-19,C♯/D♭ Major,3,2025-01-18,7d6yK8v8J484SWH5prIQiE,"Rimas Entertainment LLC.",3B,QMFMF2447060
44,"By Myself (feat. Rod Wave & Rylo Rodriguez)","Lil Baby,Rylo Rodriguez,Rod Wave",67,146,"","","WHAM (Extended Version)",2025-01-10,03:17,69,56,19,0,29,10,10,-5,A Major,4,2025-01-18,4pnwBTwGbXdZYgPhYJPRsr,"Quality Control Music/Motown Records",11B,USUG12500010
45,"PERFuMITO NUEVO","Bad Bunny,RaiNao",90,120,"reggaeton, trap latino, latin, urbano latino, latin r&b","Latin, R&b","DeBÍ TiRAR MáS FOToS",2025-01-05,03:20,51,3,100,98,56,0,10,-34,C Major,1,2025-01-18,1Q9Efnm5csdCMFynISxL2x,"Rimas Entertainment LLC.",8B,QMFMF2447058
46,"Like Him (feat. Lola Young)","Tyler, The Creator,Lola Young",90,96,"","","CHROMAKOPIA",2024-10-28,04:38,39,56,29,0,19,0,10,-7,E Minor,3,2025-01-18,6jbYpRPTEFl1HFKHk1IC0m,"Columbia",9A,USQX92405794
47,"Pink Pony Club","Chappell Roan",84,107,"","","The Rise and Fall of a Midwest Princess",2023-09-22,04:18,61,65,40,0,51,0,10,-6,F#/G♭ Major,4,2025-01-18,1k2pQc5i348DCHwbn5KTdc,"Chappell Roan PS/ Island",2B,USAT22001300
48,"No One Noticed","The Marías",87,98,"bedroom pop","Pop","Submarine",2024-05-31,03:56,71,34,55,8,46,0,10,-11,G Major,4,2025-01-18,3siwsiaEoU4Kuuc9WKMUy5,"Nice Life/Atlantic",9B,USAT22307579
49,"Liar","Jelly Roll",75,114,"country hip hop, country","Country, Hip Hop","Beautifully Broken",2024-10-10,03:24,65,77,4,0,61,0,0,-5,C♯/D♭ Major,4,2025-01-18,0llPOBVoJYDAtdmVlNE41A,"BBR Music Group/Jelly Roll",3B,USUG12404541
50,"Outfit (with 21 Savage)","Lil Baby,21 Savage",72,125,"","","WHAM (Extended Version)",2025-01-10,02:57,86,52,0,0,22,0,10,-5,C♯/D♭ Major,4,2025-01-18,6B2FtBtIds4rqeLPTW0D76,"Quality Control Music/Motown Records",3B,USUG12500016
51,"Stuff (feat. Travis Scott)","Lil Baby,Travis Scott",79,120,"rap","Hip Hop","WHAM (Extended Version)",2025-01-10,03:00,84,68,1,0,76,20,10,-6,G#/A♭ Minor,4,2025-01-18,6JvIjI8H3yxpigROd3Cv9N,"Quality Control Music/Motown Records",1A,USUG12500008
52,"WELTiTA","Bad Bunny,Chuwi",91,96,"reggaeton, trap latino, latin, urbano latino, ","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:07,46,30,87,33,36,60,30,-32,E Minor,3,2025-01-18,5WEF0icHWmAZBBMglBd599,"Rimas Entertainment LLC.",9A,QMFMF2447059
53,"Redbone (with GloRilla)","Lil Baby,GloRilla",65,154,"","","WHAM (Extended Version)",2025-01-10,02:12,68,48,0,0,10,30,30,-8,C♯/D♭ Major,4,2025-01-18,7nP8jrKvubPXbVHE52OPdo,"Quality Control Music/Motown Records",3B,USUG12500005
54,"EoO","Bad Bunny",91,64,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:24,36,46,75,86,18,0,0,-30,A#/B♭ Minor,4,2025-01-18,6J5kc12BW5HuP3d7C3vvx8,"Rimas Entertainment LLC.",3A,QMFMF2447069
55,"I Never Lie","Zach Top",80,108,"country","Country","Cold Beer & Country Music",2024-04-05,03:44,78,64,33,1,52,0,10,-6,D#/E♭ Major,4,2025-01-18,3t6gUcGYLrUuqwpXjOFWQc,"Leo33",5B,QZWH32400054
56,"I'm Gonna Love You","Cody Johnson,Carrie Underwood",39,134,"texas country, country, red dirt","Country","How Do You Sleep At Night?",2024-10-11,03:08,55,49,36,0,31,0,10,-6,D#/E♭ Minor,4,2025-01-18,3C94TlV5KIavC4EjzK2AHf,"CoJo Music/Warner Music Nashville",2A,QMCQK1900370
57,"F U 2x","Lil Baby",71,140,"","","WHAM (Extended Version)",2025-01-10,01:57,86,73,1,0,13,0,10,-6,A Major,4,2025-01-18,2ubNuGSCWRRxUfojPRebiA,"Quality Control Music/Motown Records",11B,USUG12500004
58,"4×4×U","Lainey Wilson",59,142,"country","Country","4×4×U",2024-07-04,03:59,58,73,10,0,47,0,10,-6,G Major,4,2025-01-18,0ZHdP6TzcInPSdQwQ1fkBZ,"Broken Bow Records",9B,QMRSZ2400822
59,"KETU TeCRÉ","Bad Bunny",88,111,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,04:10,27,28,2,49,8,0,10,-32,G#/A♭ Major,3,2025-01-18,4c2Pc0NrfkesPR0jff6q3F,"Rimas Entertainment LLC.",4B,QMFMF2447062
60,"PIToRRO DE COCO","Bad Bunny",75,98,"reggaeton, trap latino, latin, urbano latino","Latin","PIToRRO DE COCO",2024-12-26,03:26,64,67,25,0,54,0,10,-5,G Major,4,2025-01-18,1OSOHTBFkIkhUtxhOyUksc,"Rimas Entertainment LLC",9B,QMFMF2447067
61,"Indigo (feat. Avery Anna)","Sam Barber,Avery Anna",84,83,"country, ","Country","Restless Mind",2024-11-01,04:46,50,33,46,0,10,0,10,-10,E Minor,3,2025-01-18,1KZG1H1OCugGqIRmk1wF9m,"Lockeland Springs/Atlantic",9A,USAT22409405
62,"Loco","Neton Vega",89,92,"corrido, corridos tumbados, corridos bélicos, electro corridos","Latin","Loco",2024-12-20,03:06,85,71,7,1,63,0,10,-6,C♯/D♭ Major,4,2025-01-18,63EQbNhgaih4yg5412usWG,"Josa Records",3B,QM3DF2413965
63,"It's ok I'm ok","Tate McRae",82,115,"","","It's ok I'm ok",2024-09-12,02:36,75,51,3,0,36,0,0,-8,C♯/D♭ Minor,4,2025-01-18,24XihnoVPWXlKJ4BgXqjVM,"RCA Records Label",12A,USRC12402692
64,"Good News","Shaboozey",79,162,"","","Good News",2024-11-15,03:19,57,54,47,0,41,0,0,-7,G#/A♭ Major,4,2025-01-18,54p6vNJwGkt4FTaM8SCsxt,"American Dogwood / EMPIRE",4B,USUYG1580113
65,"Listen Up","Lil Baby",66,80,"","","WHAM (Extended Version)",2025-01-10,02:35,46,41,29,0,24,10,10,-10,C♯/D♭ Minor,4,2025-01-18,4iGqt48gNNqspw8VN8EKgP,"Quality Control Music/Motown Records",12A,USUG12500019
66,"KLOuFRENS","Bad Bunny",89,107,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:19,33,13,70,71,31,10,10,-32,C♯/D♭ Major,4,2025-01-18,4MUrUT38U98olfnyzMBCzm,"Rimas Entertainment LLC.",3B,QMFMF2447064
67,"Defying Gravity","Cynthia Erivo,Ariana Grande",83,148,"musicals, pop","Classical, Pop","Wicked: The Soundtrack",2024-11-22,07:39,31,30,53,0,21,0,0,-10,C♯/D♭ Major,4,2025-01-18,5QMrH5nszZZR3nefIj6Mar,"Universal Studios and Republic Records",3B,USUG12407084
68,"Tu Boda","Oscar Maydon,Fuerza Regida",90,113,"corridos tumbados, corrido, corridos bélicos, electro corridos, sad sierreño, banda, música mexicana, sierreño","Latin","Tu Boda",2024-09-26,03:45,69,65,50,0,47,0,0,-7,F#/G♭ Major,3,2025-01-18,1cOboCuWYI2osTOfolMRS6,"Rancho Humilde/Sony Music Latin",2B,QZ9QQ2400535
69,"BOKeTE","Bad Bunny",88,125,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:35,40,7,19,96,3,0,10,-33,C♯/D♭ Major,4,2025-01-18,79x7xtoCLpf6l32Zz6mWo4,"Rimas Entertainment LLC.",3B,QMFMF2447063
70,"Scorsese Baby Daddy","SZA",82,104,"r&b","R&B","SOS Deluxe: LANA",2024-12-20,02:33,75,73,46,0,80,0,10,-7,E Major,4,2025-01-18,2E7a96qey4AzSOdK6H21vS,"Top Dawg Entertainment/RCA Records",12B,USRC12403827
71,"I Promise","Lil Baby",64,167,"","","WHAM (Extended Version)",2025-01-10,03:03,66,68,5,0,71,30,20,-7,G Major,4,2025-01-18,0HBqoVCPtB8VkFOixWrBS3,"Quality Control Music/Motown Records",9B,USUG12500015
72,"Qué Pasaría...","Rauw Alejandro,Bad Bunny",73,105,"reggaeton, urbano latino, trap latino, latin","Latin","Qué Pasaría...",2024-11-14,03:11,79,78,44,0,33,10,10,-4,B Minor,4,2025-01-18,0OxKf18dUo2G5dFOQYCvBN,"Sony Music Latin/Duars Entertainment",10A,USQX92404984
73,"Due 4A Win","Lil Baby",69,138,"","","WHAM (Extended Version)",2025-01-10,02:06,80,40,0,0,28,10,10,-7,C♯/D♭ Major,4,2025-01-18,0icIjOb3QHklvGBaR7woTP,"Quality Control Music/Motown Records",3B,USUG12500017
74,"So Sorry","Lil Baby",65,115,"","","WHAM (Extended Version)",2025-01-10,03:20,81,59,28,0,26,30,10,-7,F#/G♭ Minor,4,2025-01-18,5wwy9GjFxOFMV8IO6Xdf8h,"Quality Control Music/Motown Records",11A,USUG12500014
75,"Think I'm In Love With You","Chris Stapleton",66,92,"country","Country","Think I’m In Love With You",2023-09-08,03:42,67,42,19,22,61,0,10,-14,F#/G♭ Minor,4,2025-01-18,65M92JpTbAdHmTQm4jGaDa,"Mercury Nashville",11A,USUG12300474
76,"DENIAL IS A RIVER","Doechii",85,93,"","","Alligator Bites Never Heal",2024-08-30,02:39,83,64,9,0,62,30,0,-3,F#/G♭ Minor,4,2025-01-18,1eTaznNW4Xxtx9za2SMTXB,"Top Dawg Entertainment/Capitol Records",11A,USUG12405664
77,"TURiSTA","Bad Bunny",88,91,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:10,36,12,46,7,32,50,10,-30,G#/A♭ Major,3,2025-01-18,7tCuCjhxzjX2XCz4JiiAsp,"Rimas Entertainment LLC.",4B,QMFMF2447065
78,"Guy For That (Feat. Luke Combs)","Post Malone,Luke Combs",76,120,"country","Country","F-1 Trillion",2024-08-15,02:44,61,91,1,0,50,0,10,-4,G#/A♭ Major,4,2025-01-18,6StwwqB84sJeLr7tZDTxEX,"Mercury Records / Republic Records",4B,USUM72405595
79,"Residuals","Chris Brown",70,115,"r&b","R&B","11:11 (Deluxe)",2024-04-11,03:35,58,65,34,0,17,0,10,-8,F#/G♭ Minor,4,2025-01-18,4t4rGgiVX7woTmlnW9SHJ7,"Chris Brown Entertainment/RCA Records",11A,USRC12400942
80,"No Pole","Don Toliver",87,85,"","","Love Sick (Deluxe)",2023-02-28,03:07,33,63,7,0,38,0,50,-5,F Minor,4,2025-01-18,0eaVIYo2zeOaGJeqZ5TwYz,"Cactus Jack / Atlantic",4A,USAT22302146
81,"I Ain't Sayin'","Jordan Davis",74,77,"country","Country","I Ain't Sayin'",2024-07-26,02:54,61,91,45,0,92,0,10,-5,G#/A♭ Major,4,2025-01-18,7lCs3stpWCtAn5Y2lmnPhV,"MCA Nashville",4B,USUM72408405
82,"Am I Okay?","Megan Moroney",75,126,"country","Country","Am I Okay?",2024-07-12,03:55,59,73,2,0,52,0,10,-5,A Major,4,2025-01-18,36wAwEkSDpNQ4oQeRLYC3L,"Columbia Nashville/Columbia Records",11B,USQX92401667
83,"CAFé CON RON","Bad Bunny,Los Pleneros de la Cresta",88,96,"reggaeton, trap latino, latin, urbano latino, ","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:48,33,15,15,0,4,0,40,-27,A Major,4,2025-01-18,6VNXmo59yDYgcwLS17UNAW,"Rimas Entertainment LLC.",11B,QMFMF2447066
84,"Help Me","Real Boston Richey",68,79,"","","Help Me",2024-05-31,03:01,75,71,16,0,56,20,30,-6,F#/G♭ Major,4,2025-01-18,487JCvAXVblflZyDJn3fSp,"Freebandz Global/Epic",2B,USSM12404181
85,"Bad Dreams","Teddy Swims",87,125,"","","Bad Dreams",2024-09-13,03:04,71,68,27,0,62,0,0,-6,G#/A♭ Major,4,2025-01-18,3nHuKdFJZm78CoeBnDcFKe,"Warner Records",4B,USWB12403749
86,"Stiff Gang","Lil Baby",63,125,"","","WHAM (Extended Version)",2025-01-10,02:51,82,67,0,0,22,10,0,-6,B Minor,4,2025-01-18,3cRi3PKcFCPL3fQcEJMKT0,"Quality Control Music/Motown Records",10A,USUG12500011
87,"Dancing In The Flames","The Weeknd",81,117,"","","Dancing In The Flames",2024-09-13,03:40,55,73,0,0,16,0,0,-6,C♯/D♭ Major,4,2025-01-18,7z7kvUQGwlC6iOl7vMuAr9,"XO / Republic Records",3B,USUG12405844
88,"Boys Back Home","Dylan Marlowe,Dylan Scott",60,140,"country","Country","Boys Back Home",2023-10-27,02:45,48,93,7,0,56,0,10,-2,A#/B♭ Major,4,2025-01-18,1hgINxfKQlJOikzd9skvC2,"Sony Music Nashville",6B,USRN12300165
89,"Heart Of A Woman","Summer Walker",73,130,"r&b","R&B","Heart Of A Woman",2024-10-25,02:51,72,43,48,0,47,10,10,-8,A Minor,4,2025-01-18,2oVVaVY0LkzwAYYcyzon6Z,"LVRN/Interscope Records",8A,USUM72412378
90,"peekaboo (feat. azchike)","Kendrick Lamar,AzChike",82,100,"hip hop, west coast hip hop, hyphy","Hip Hop","GNX",2024-11-22,02:35,89,30,0,0,31,10,10,-9,C♯/D♭ Major,4,2025-01-18,2Uts1QFB4u2YNIMiqcb4de,"pgLang, under exclusive license to Interscope Records",3B,USUG12408501
91,"Drive","SZA",78,136,"r&b","R&B","SOS Deluxe: LANA",2024-12-20,03:05,66,32,96,0,53,0,10,-13,B Major,4,2025-01-18,2qYbtIf8dRkBkKIcZVGFDq,"Top Dawg Entertainment/RCA Records",1B,USRC12403822
92,"Popular","Ariana Grande",82,178,"pop","Pop","Wicked: The Soundtrack",2024-11-22,04:01,44,32,73,0,47,10,10,-12,F Major,4,2025-01-18,3i8fIJNV0yuC4kXT3SkVBZ,"Universal Studios and Republic Records",7B,USUG12407080
93,"hey now (feat. dody6)","Kendrick Lamar,Dody6",82,102,"hip hop, west coast hip hop","Hip Hop","GNX",2024-11-22,03:37,81,36,0,0,19,10,40,-9,A#/B♭ Major,4,2025-01-18,5S8VwnB4sLi6W0lYTWYylu,"pgLang, under exclusive license to Interscope Records",6B,USUG12408497
94,"LO QUE LE PASÓ A HAWAii","Bad Bunny",86,83,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:49,9,0,25,0,7,0,20,-54,B Major,4,2025-01-18,1Hg0e997pObvZ91w1FCPFk,"Rimas Entertainment LLC.",1B,QMFMF2447068
95,"LA MuDANZA","Bad Bunny",87,174,"reggaeton, trap latino, latin, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:33,56,93,98,94,97,0,10,-6,G Major,3,2025-01-18,3G7agPwWfcORnWCAGMDOpm,"Rimas Entertainment LLC.",9B,QMFMF2447071
96,"Close To You","Gracie Abrams",72,122,"","","The Secret of Us",2024-06-21,03:45,59,73,3,0,36,0,0,-8,F#/G♭ Major,4,2025-01-18,2bl81llf715VEEbAx03yvB,"Gracie Abrams, under exclusive license to Interscope Records",2B,USUG12401775
97,"Diet Pepsi","Addison Rae",84,150,"","","Diet Pepsi",2024-08-09,02:49,67,56,50,1,84,0,10,-7,A#/B♭ Major,4,2025-01-18,6MzofobZt2dm0Kf1hTThFz,"Columbia",6B,USSM12405456
