#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
15,"Timeless (with Playboi Carti)","The Weeknd,Playboi Carti",92,120,"canadian contemporary r&b, canadian pop, pop, atl hip hop, plugg, pluggnb, rage rap, rap","Hip Hop, R&B, Pop","Timeless",2024-09-27,04:16,77,72,6,0,57,0,10,-5,B Minor,4,2025-01-15,1Es7AUAhQvapIcoh3qMKDL,"XO / Republic Records",10A,USUG12406536
16,"WELTiTA","Bad Bunny,Chuwi",87,96,"reggaeton, trap latino, urbano latino, puerto rican rock","Rock, Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:07,46,30,87,33,36,60,30,-32,E Minor,3,2025-01-15,5WEF0icHWmAZBBMglBd599,"Rimas Entertainment LLC.",9A,QMFMF2447059
17,"PERFuMITO NUEVO","Bad Bunny,RaiNao",87,120,"reggaeton, trap latino, urbano latino, rap boricua","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:20,51,3,100,98,56,0,10,-34,C Major,1,2025-01-15,1Q9Efnm5csdCMFynISxL2x,"Rimas Entertainment LLC.",8B,QMFMF2447058
18,"Who","Jimin",90,116,"k-pop","Pop","MUSE",2024-07-19,02:50,66,76,0,0,84,0,10,-4,C Minor,4,2025-01-15,7tI8dRuH2Yc6RuoTjxo4dU,"BIGHIT MUSIC",5A,USA2P2431062
19,"EL CLúB","Bad Bunny",86,111,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:42,52,61,46,0,26,0,10,-5,A#/B♭ Minor,4,2025-01-15,0iKo4pNNjHHdKUcFARlfCa,"Rimas Entertainment LLC.",3A,QMFME2462255
20,"BMF","SZA",87,128,"pop, r&b, rap","Pop, R&B, Hip Hop","SOS Deluxe: LANA",2024-12-20,03:00,79,55,51,2,97,0,0,-9,A#/B♭ Minor,4,2025-01-15,3U3hFkMr0Q90pD24EkE3Pr,"Top Dawg Entertainment/RCA Records",3A,USRC12403826
21,"Like Him (feat. Lola Young)","Tyler, The Creator,Lola Young",90,96,"hip hop, rap, uk pop","Hip Hop, Pop","CHROMAKOPIA",2024-10-28,04:38,39,56,29,0,19,0,10,-7,E Minor,3,2025-01-15,6jbYpRPTEFl1HFKHk1IC0m,"Columbia",9A,USQX92405794
22,"Tweaker","G3 GELO",78,167,"","","Tweaker",2025-01-03,03:09,67,80,3,0,86,30,0,-9,C Minor,4,2025-01-15,5nk6BxN9bM5rLNkA3pMOzn,"Born To Ball Music Group",5A,QT3F42457524
23,"Messy","Lola Young",83,111,"uk pop","Pop","This Wasn't Meant For You Anyway",2024-06-21,04:44,80,56,11,1,65,0,10,-6,A Major,4,2025-01-15,35ISBknsCeZQtq66xABI9g,"Universal-Island Records Ltd.",11B,GBUM72401610
24,"Good Luck, Babe!","Chappell Roan",92,117,"indie pop","Pop","Good Luck, Babe!",2024-04-05,03:38,70,58,5,0,79,0,0,-6,B Minor,4,2025-01-15,0WbMK4wrZ1wFSty9F7FCgu,"Chappell Roan PS/ Island",10A,USUG12401967
25,"squabble up","Kendrick Lamar",89,104,"conscious hip hop, hip hop, rap, west coast rap","Hip Hop","GNX",2024-11-22,02:37,87,67,2,0,71,20,0,-6,C Major,4,2025-01-15,0nj9Bq5sHDiTxSHunhgkFb,"pgLang, under exclusive license to Interscope Records",8B,USUG12408494
26,"KLOuFRENS","Bad Bunny",86,107,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:19,33,13,70,71,31,10,10,-32,C♯/D♭ Major,4,2025-01-15,4MUrUT38U98olfnyzMBCzm,"Rimas Entertainment LLC.",3B,QMFMF2447064
27,"KETU TeCRÉ","Bad Bunny",86,111,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,04:10,27,28,2,49,8,0,10,-32,G#/A♭ Major,3,2025-01-15,4c2Pc0NrfkesPR0jff6q3F,"Rimas Entertainment LLC.",4B,QMFMF2447062
28,"No Pole","Don Toliver",86,85,"rap","Hip Hop","Love Sick (Deluxe)",2023-02-28,03:07,33,63,7,0,38,0,50,-5,F Minor,4,2025-01-15,0eaVIYo2zeOaGJeqZ5TwYz,"Cactus Jack / Atlantic",4A,USAT22302146
29,"Qué Pasaría...","Rauw Alejandro,Bad Bunny",90,105,"puerto rican pop, reggaeton, trap latino, urbano latino","Pop, Latin","Cosa Nuestra",2024-11-15,03:11,83,56,53,0,34,20,10,-6,E Minor,4,2025-01-15,0l0vcZMU7AOeQmUIREoI2U,"Sony Music Latin/Duars Entertainment",9A,USQX92404984
30,"Smile","Morgan Wallen",82,126,"contemporary country","Country","Smile",2024-12-31,03:44,50,22,94,0,40,0,0,-11,B Major,4,2025-01-15,3MJ6lFNV12FSHAOzTzkwxz,"Big Loud Records / Mercury Records / Republic Records",1B,USUG12408922
31,"Loco","Neton Vega",85,92,"corrido","Latin","Loco",2024-12-20,03:06,85,71,7,1,63,0,10,-6,C♯/D♭ Major,4,2025-01-15,63EQbNhgaih4yg5412usWG,"Josa Records",3B,QM3DF2413965
32,"BOKeTE","Bad Bunny",85,125,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:35,40,7,19,96,3,0,10,-33,C♯/D♭ Major,4,2025-01-15,79x7xtoCLpf6l32Zz6mWo4,"Rimas Entertainment LLC.",3B,QMFMF2447063
33,"TURiSTA","Bad Bunny",85,91,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:10,36,12,46,7,32,50,10,-30,G#/A♭ Major,3,2025-01-15,7tCuCjhxzjX2XCz4JiiAsp,"Rimas Entertainment LLC.",4B,QMFMF2447065
34,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",84,128,"dfw rap, melodic rap, pop, rap, contemporary country","Country, Hip Hop, Pop","F-1 Trillion",2024-08-15,02:58,64,87,1,0,75,0,20,-5,C Major,4,2025-01-15,5IZXB5IKAD2qlvTPJYDCFB,"Mercury Records / Republic Records",8B,USUM72404990
35,"CAFé CON RON","Bad Bunny,Los Pleneros de la Cresta",84,96,"reggaeton, trap latino, urbano latino, puerto rican folk, puerto rican indie, puerto rican rock","Folk/Acoustic, Latin, Rock","DeBÍ TiRAR MáS FOToS",2025-01-05,03:48,33,15,15,0,4,0,40,-27,A Major,4,2025-01-15,6VNXmo59yDYgcwLS17UNAW,"Rimas Entertainment LLC.",11B,QMFMF2447066
36,"No One Noticed","The Marías",86,98,"bedroom pop, la indie","Pop","Submarine",2024-05-31,03:56,71,34,55,8,46,0,10,-11,G Major,4,2025-01-15,3siwsiaEoU4Kuuc9WKMUy5,"Nice Life/Atlantic",9B,USAT22307579
37,"WILDFLOWER","Billie Eilish",92,148,"art pop, pop","Pop","HIT ME HARD AND SOFT",2024-05-17,04:21,47,25,61,0,13,0,10,-12,F#/G♭ Minor,4,2025-01-15,3QaPy1KgI7nu9FJEQUgn6h,"Darkroom/Interscope Records",11A,USUM72401993
38,"30 For 30 (with Kendrick Lamar)","SZA,Kendrick Lamar",85,140,"pop, r&b, rap, conscious hip hop, hip hop, west coast rap","Hip Hop, Pop, R&B","SOS Deluxe: LANA",2024-12-20,04:38,71,42,76,0,51,0,10,-10,C♯/D♭ Minor,4,2025-01-15,3aSWXU6owkZeVhh94XxEWO,"Top Dawg Entertainment/RCA Records",12A,USRC12403853
39,"Love Somebody","Morgan Wallen",85,122,"contemporary country","Country","Love Somebody",2024-10-18,03:24,62,84,1,0,75,0,10,-5,F Minor,4,2025-01-15,7hR22TOX3RorxJPcsz5Wbo,"Big Loud Records / Mercury Records / Republic Records",4A,USUG12406387
40,"LA MuDANZA","Bad Bunny",84,174,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:33,56,93,98,94,97,0,10,-6,G Major,3,2025-01-15,3G7agPwWfcORnWCAGMDOpm,"Rimas Entertainment LLC.",9B,QMFMF2447071
41,"PIToRRO DE COCO","Bad Bunny",83,98,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:26,64,67,25,0,54,0,10,-5,G Major,4,2025-01-15,14QaXYIK3K3QPtezqxRRPN,"Rimas Entertainment LLC.",9B,QMFMF2447067
42,"Espresso","Sabrina Carpenter",89,104,"pop","Pop","Short n' Sweet",2024-08-23,02:55,70,78,13,0,71,0,20,-5,C Major,4,2025-01-15,2HRqTpkrJO5ggZyyK6NPWz,"Island Records",8B,USUM72403305
43,"See You Again (feat. Kali Uchis)","Tyler, The Creator,Kali Uchis",89,79,"hip hop, rap, colombian pop","Pop, Hip Hop","Flower Boy",2017-07-21,03:00,56,56,37,0,62,10,10,-9,F#/G♭ Major,4,2025-01-15,7KA4W4McWYRpgf0fWsJZWB,"Columbia",2B,USQX91701275
44,"Taste","Sabrina Carpenter",91,113,"pop","Pop","Short n' Sweet",2024-08-23,02:37,67,91,10,0,72,0,30,-4,D#/E♭ Major,4,2025-01-15,5G2f63n7IPVPPjfNIGih7Q,"Island Records",5B,USUM72404100
45,"A Bar Song (Tipsy)","Shaboozey",83,81,"modern country pop, pop rap","Pop, Hip Hop","Where I've Been, Isn't Where I'm Going",2024-05-31,02:51,72,71,7,0,60,0,0,-5,A Major,4,2025-01-15,5fZJQrFKWQLb7FpJXZ1g7K,"American Dogwood / EMPIRE",11B,USUYG1541249
46,"Lose Control","Teddy Swims",89,160,"","","I've Tried Everything But Therapy (Part 1)",2023-09-15,03:30,56,60,20,0,24,0,10,-4,A Major,3,2025-01-15,17phhZDn6oGtzMe56NuWvj,"Warner Records",11B,USWB12302315
47,"DENIAL IS A RIVER","Doechii",83,93,"alternative r&b","R&B","Alligator Bites Never Heal",2024-08-30,02:39,83,64,9,0,62,30,0,-3,F#/G♭ Minor,4,2025-01-15,1eTaznNW4Xxtx9za2SMTXB,"Top Dawg Entertainment/Capitol Records",11A,USUG12405664
48,"Sweater Weather","The Neighbourhood",89,124,"modern alternative rock, modern rock, pop","Rock, Pop","I Love You.",2013-04-22,04:00,61,81,5,2,40,0,10,-3,A#/B♭ Major,4,2025-01-15,2QjOHCTQ1Jl3zawyYOpxh6,"Columbia",6B,USSM11300080
49,"I Love You, I'm Sorry","Gracie Abrams",89,116,"alt z","Pop","The Secret of Us",2024-06-21,02:37,53,41,66,0,34,0,10,-8,A#/B♭ Major,3,2025-01-15,51rfRCiUSvxXlCSCfIztBy,"Gracie Abrams, under exclusive license to Interscope Records",6B,USUG12401766
50,"LO QUE LE PASÓ A HAWAii","Bad Bunny",83,83,"reggaeton, trap latino, urbano latino","Latin","DeBÍ TiRAR MáS FOToS",2025-01-05,03:49,9,0,25,0,7,0,20,-54,B Major,4,2025-01-15,1Hg0e997pObvZ91w1FCPFk,"Rimas Entertainment LLC.",1B,QMFMF2447068
